Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Index_numerico,week,Avg,Valor Investido,Saldo Restante,Week,Date,Dia_Util,Aporte_Diario,Qtd_Acoes_Compradas,Dinheiro_Investido,Dinheiro_Em_Conta,Valor Final
2024-01-01 00:00:00-03:00,9.796750163882596,9.834575419271129,9.740012731712406,9.806206703186035,23414900.0,0.0,0.0,10,0,9.801478433534315,4200,0,0,2024-01-01,False,4200,428,4195.032769552687,4.967230447313341,4200.0
2024-01-02 00:00:00-03:00,9.74947050366156,9.75892614233527,9.57925638198002,9.617081642150879,16813400.0,0.0,0.0,11,1,9.683276072906219,4200,0,1,2024-01-02,True,0,428,4144.442159203862,4.967230447313341,4149.409389651175
2024-01-03 00:00:00-03:00,9.598166465759277,9.692730046454747,9.569797752280694,9.598166465759277,18182000.0,0.0,0.0,12,2,9.598166465759277,4200,0,2,2024-01-03,True,0,428,4108.015247344971,4.967230447313341,4112.982477792284
2024-01-04 00:00:00-03:00,9.598167342605258,9.626536960500706,9.418497605060207,9.475235939025879,25078600.0,0.0,0.0,13,3,9.536701640815568,4200,0,3,2024-01-04,True,0,428,4081.708302269063,4.967230447313341,4086.6755327163764
2024-01-05 00:00:00-03:00,9.475236658853895,9.730556926532886,9.456323578820115,9.673818588256836,27054600.0,0.0,0.0,14,4,9.574527623555365,4200,0,4,2024-01-05,True,0,428,4097.897822881697,4.967230447313341,4102.86505332901
2024-01-06 00:00:00-03:00,9.475236658853895,9.730556926532886,9.456323578820115,9.673818588256836,27054600.0,0.0,0.0,15,5,9.574527623555365,4200,0,5,2024-01-06,False,0,428,4097.897822881697,4.967230447313341,4102.86505332901
2024-01-07 00:00:00-03:00,9.475236658853895,9.730556926532886,9.456323578820115,9.673818588256836,27054600.0,0.0,0.0,16,6,9.574527623555365,4200,0,6,2024-01-07,False,0,428,4097.897822881697,4.967230447313341,4102.86505332901
2024-01-08 00:00:00-03:00,9.673818026579397,9.692731105515055,9.579255337376834,9.607624053955078,15826100.0,0.0,0.0,17,0,9.640721040267238,4200,0,0,2024-01-08,True,0,428,4126.228605234378,4.967230447313341,4131.195835681691
2024-01-09 00:00:00-03:00,9.579257424530892,9.654907953105978,9.513063437484051,9.62653923034668,13708500.0,0.0,0.0,18,1,9.602898327438787,4200,0,1,2024-01-09,True,0,428,4110.040484143801,4.967230447313341,4115.007714591115
2024-01-10 00:00:00-03:00,9.645448256107011,9.664361332976162,9.560341213846119,9.598166465759277,9474800.0,0.0,0.0,19,2,9.621807360933143,4200,0,2,2024-01-10,True,0,428,4118.133550479385,4.967230447313341,4123.1007809266985
2024-01-11 00:00:00-03:00,9.560341791355423,9.626536662570926,9.494147821965116,9.550886154174805,13242500.0,0.0,0.0,20,3,9.555613972765114,4200,0,3,2024-01-11,True,0,428,4089.802780343469,4.967230447313341,4094.770010790782
2024-01-12 00:00:00-03:00,9.531972500367534,9.626536081063003,9.456321996541217,9.598166465759277,13867400.0,0.0,0.0,21,4,9.565069483063406,4200,0,4,2024-01-12,True,0,428,4093.8497387511375,4.967230447313341,4098.816969198451
2024-01-13 00:00:00-03:00,9.531972500367534,9.626536081063003,9.456321996541217,9.598166465759277,13867400.0,0.0,0.0,22,5,9.565069483063406,4200,0,5,2024-01-13,False,0,428,4093.8497387511375,4.967230447313341,4098.816969198451
2024-01-14 00:00:00-03:00,9.531972500367534,9.626536081063003,9.456321996541217,9.598166465759277,13867400.0,0.0,0.0,23,6,9.565069483063406,4200,0,6,2024-01-14,False,0,428,4093.8497387511375,4.967230447313341,4098.816969198451
2024-01-15 00:00:00-03:00,9.598168029408892,9.664362907409668,9.550887133183709,9.664362907409668,9958800.0,0.0,0.0,24,0,9.63126546840928,4200,0,0,2024-01-15,True,0,428,4122.181620479172,4.967230447313341,4127.1488509264855
2024-01-16 00:00:00-03:00,9.598167578751724,9.635992835051056,9.503604888916016,9.503604888916016,27879100.0,0.0,0.0,25,1,9.55088623383387,4200,0,1,2024-01-16,True,0,428,4087.7793080808965,4.967230447313341,4092.74653852821
2024-01-17 00:00:00-03:00,9.484692041819311,9.579255635792993,9.475236403882159,9.531973838806152,20677200.0,0.0,0.0,26,2,9.508332940312732,4200,0,2,2024-01-17,True,0,428,4069.5664984538494,4.967230447313341,4074.5337289011627
2024-01-18 00:00:00-03:00,9.541430585156887,9.550887125124058,9.43741044916857,9.446866989135742,22394100.0,0.0,0.0,27,3,9.494148787146315,4200,0,3,2024-01-18,True,0,428,4063.495680898623,4.967230447313341,4068.4629113459364
2024-01-19 00:00:00-03:00,9.44686740796204,9.494149208068848,9.399585607855233,9.494149208068848,13732900.0,0.0,0.0,28,4,9.470508308015443,4200,0,4,2024-01-19,True,0,428,4053.3775558306097,4.967230447313341,4058.344786277923
2024-01-20 00:00:00-03:00,9.44686740796204,9.494149208068848,9.399585607855233,9.494149208068848,13732900.0,0.0,0.0,29,5,9.470508308015443,4200,0,5,2024-01-20,False,0,428,4053.3775558306097,4.967230447313341,4058.344786277923
